year,quarter,repository_language,pushes_by_lang
2013,2,Matlab,30713
2013,2,Puppet,23894
2013,2,Groovy,22559
2013,2,Erlang,20490
2013,2,ActionScript,18715
2013,2,Standard ML,18608
2013,2,Logos,15132
2013,2,TypeScript,12877
2013,2,OCaml,11565
2013,2,Arduino,10482
2013,2,D,9504
2013,2,XML,9378
2013,2,Dart,9184
2013,2,Common Lisp,9144
2013,2,ASP,8829
2013,2,Rust,8608
2013,2,Delphi,8310
2013,2,Processing,7982
2013,2,Scheme,7868
2013,2,Assembly,7403
2013,2,Visual Basic,7316
2013,2,Haxe,6675
2013,2,FORTRAN,6612
2013,2,Julia,6537
2013,2,Racket,6106
2013,2,PowerShell,5555
2013,2,Prolog,5039
2013,2,ColdFusion,4656
2013,2,F#,4372
2013,2,Verilog,3999
2013,2,VHDL,3756
2013,2,DOT,3373
2013,2,Elixir,3073
2013,2,Coq,2509
2013,2,XSLT,2503
2013,2,Tcl,1964
2013,2,Smalltalk,1804
2013,2,AutoHotkey,1722
2013,2,Vala,1703
2013,2,Lasso,1481
2013,2,SuperCollider,1441
2013,2,Ada,1300
2013,2,LiveScript,1230
2013,2,Apex,1155
2013,2,OpenEdge ABL,1148
2013,2,Eiffel,1059
2013,2,Factor,930
2013,2,Pure Data,823
2013,2,Objective-J,792
2013,2,AppleScript,597
2013,2,HaXe,566
2013,2,Awk,521
2013,2,Parrot,470
2013,2,Nimrod,455
2013,2,XQuery,451
2013,2,Scilab,433
2013,2,Nemerle,419
2013,2,Io,414
2013,2,Gosu,379
2013,2,Kotlin,334
2013,2,Xtend,310
2013,2,Boo,266
2013,2,DCPU-16 ASM,258
2013,2,Logtalk,214
2013,2,M,214
2013,2,Dylan,212
2013,2,Rebol,204
2013,2,ooc,190
2013,2,MoonScript,181
2013,2,Ceylon,173
2013,2,Arc,164
2013,2,Monkey,156
2013,2,Nu,149
2013,2,Turing,142
2013,2,CLIPS,118
2013,2,Augeas,100
2013,2,Ragel in Ruby Host,87
2013,2,Ecl,83
2013,2,Forth,82
2013,2,Max,71
2013,2,PogoScript,58
2013,2,Pike,41
2013,2,Fancy,38
2013,2,Fantom,37
2013,2,Ioke,32
2013,2,Opa,29
2013,2,Bro,29
2013,2,eC,21
2013,2,XProc,19
2013,2,Rouge,13
2013,2,Mirah,8
2013,2,ABAP,6
2013,2,wisp,4
2013,2,Omgrofl,2
2013,3,JavaScript,1948953
2013,3,null,1177949
2013,3,Java,1086481
2013,3,Ruby,910866
2013,3,Python,910492
2013,3,PHP,792940
2013,3,C++,549239
2013,3,CSS,504341
2013,3,C,462706
2013,3,Shell,325258
2013,3,C#,202118
2013,3,Objective-C,154815
2013,3,VimL,104913
2013,3,Perl,101176
2013,3,Scala,67031
2013,3,CoffeeScript,66374
2013,3,Go,64872
2013,3,Haskell,45485
2013,3,Emacs Lisp,44397
2013,3,Lua,39929
2013,3,R,34789
2013,3,Clojure,33955
2013,3,Puppet,27971
2013,3,Matlab,24689
2013,3,Groovy,19926
2013,3,Erlang,19845
2013,3,ActionScript,16630
2013,3,TypeScript,15179
2013,3,OCaml,11855
2013,3,Rust,10813
2013,3,XSLT,10713
2013,3,D,10523
2013,3,Logos,10372
2013,3,Arduino,10214
2013,3,Common Lisp,8339
2013,3,Visual Basic,8138
2013,3,Scheme,7545
2013,3,Dart,6824
2013,3,PowerShell,6730
2013,3,Delphi,6672
2013,3,Racket,6593
2013,3,FORTRAN,6576
2013,3,ASP,6126
2013,3,Processing,6045
2013,3,Assembly,5837
2013,3,Julia,5620
2013,3,Prolog,5242
2013,3,Elixir,5235
2013,3,Haxe,4944
2013,3,ColdFusion,4051
2013,3,F#,3724
2013,3,DOT,3597
2013,3,Verilog,3086
2013,3,Vala,2604
2013,3,VHDL,2477
2013,3,OpenEdge ABL,2285
2013,3,Tcl,2233
2013,3,AutoHotkey,2138
2013,3,XML,1986
2013,3,SuperCollider,1714
2013,3,Standard ML,1620
2013,3,Coq,1570
2013,3,Smalltalk,1437
2013,3,LiveScript,1375
2013,3,Ada,1220
2013,3,Pascal,1168
2013,3,Eiffel,1078
2013,3,Apex,1064
2013,3,Lasso,1026
2013,3,M,846
2013,3,Pure Data,779
2013,3,Nemerle,731
2013,3,Slash,679
2013,3,XQuery,640
2013,3,Gosu,569
2013,3,Factor,518
2013,3,Kotlin,507
2013,3,Parrot,456
2013,3,Xtend,447
2013,3,AppleScript,443
2013,3,Dylan,440
2013,3,Nimrod,434
2013,3,Objective-J,413
2013,3,Awk,392
2013,3,Scilab,370
2013,3,HaXe,325
2013,3,Io,280
2013,3,XC,242
2013,3,ooc,210
2013,3,Ceylon,198
2013,3,MoonScript,195
2013,3,XProc,188
2013,3,Rebol,167
2013,3,Logtalk,164
2013,3,Arc,133
2013,3,DCPU-16 ASM,131
2013,3,Forth,122
2013,3,Ecl,107
2013,3,Augeas,102
2013,3,CLIPS,97
2013,3,Bro,91
2013,3,Boo,80
2013,3,Ragel in Ruby Host,77
2013,3,Max,76
2013,3,eC,75
2013,3,Monkey,67
2013,3,Squirrel,60
2013,3,Pike,47
2013,3,Turing,37
2013,3,Mirah,35
2013,3,Fancy,31
2013,3,wisp,30
2013,3,Nu,24
2013,3,PogoScript,21
2013,3,ABAP,16
2013,3,Self,10
2013,3,Opa,6
2013,3,COBOL,4
2013,3,Rouge,3
2013,3,Fantom,1
2013,4,JavaScript,2020078
2013,4,Java,1477284
2013,4,null,1451667
2013,4,Python,1039052
2013,4,Ruby,1001017
2013,4,PHP,936290
2013,4,CSS,929503
2013,4,C++,690696
2013,4,C,591961
2013,4,Shell,419248
2013,4,C#,282326
2013,4,Objective-C,193714
2013,4,VimL,108966
2013,4,Perl,103726
2013,4,Go,79418
2013,4,CoffeeScript,75349
2013,4,Scala,74788
2013,4,Emacs Lisp,51639
2013,4,R,47686
2013,4,Haskell,47562
2013,4,Lua,47488
2013,4,Matlab,39045
2013,4,Clojure,37885
2013,4,Puppet,32838
2013,4,TeX,28378
2013,4,Groovy,25849
2013,4,Erlang,21916
2013,4,ActionScript,20568
2013,4,Logos,19674
2013,4,TypeScript,19419
2013,4,OCaml,17417
2013,4,Arduino,13106
2013,4,Rust,12943
2013,4,D,12702
2013,4,XSLT,12373
2013,4,Dart,10279
2013,4,Common Lisp,10105
2013,4,Processing,10018
2013,4,ASP,9949
2013,4,Visual Basic,9166
2013,4,PowerShell,8516
2013,4,Assembly,8405
2013,4,Prolog,8281
2013,4,FORTRAN,7720
2013,4,Scheme,7608
2013,4,Julia,7599
2013,4,Pascal,7387
2013,4,Racket,6890
2013,4,F#,6723
2013,4,Haxe,5783
2013,4,Verilog,5129
2013,4,VHDL,4982
2013,4,Elixir,4868
2013,4,DOT,4107
2013,4,ColdFusion,3774
2013,4,OpenEdge ABL,3545
2013,4,Vala,3394
2013,4,Tcl,2987
2013,4,Standard ML,2935
2013,4,XML,2359
2013,4,Coq,2190
2013,4,AutoHotkey,2161
2013,4,LiveScript,2071
2013,4,Lasso,1808
2013,4,Ada,1777
2013,4,DM,1726
2013,4,Oxygene,1492
2013,4,M,1403
2013,4,SuperCollider,1339
2013,4,Smalltalk,1243
2013,4,Apex,1196
2013,4,Eiffel,1004
2013,4,Slash,918
2013,4,XC,866
2013,4,XQuery,843
2013,4,Factor,832
2013,4,Nimrod,807
2013,4,BlitzBasic,781
2013,4,Pure Data,737
2013,4,Nemerle,731
2013,4,nesC,728
2013,4,Objective-J,716
2013,4,Elm,638
2013,4,AppleScript,636
2013,4,Awk,635
2013,4,Gosu,595
2013,4,Xtend,594
2013,4,Ceylon,532
2013,4,Max,515
2013,4,Squirrel,487
2013,4,Kotlin,486
2013,4,Scilab,450
2013,4,Parrot,432
2013,4,Delphi,368
2013,4,Boo,356
2013,4,HaXe,347
2013,4,Io,340
2013,4,Dylan,327
2013,4,IDL,324
2013,4,Agda,277
2013,4,UnrealScript,267
2013,4,Logtalk,243
2013,4,Brightscript,231
2013,4,MoonScript,231
2013,4,xBase,216
2013,4,AutoIt,211
2013,4,ooc,209
2013,4,Pike,201
2013,4,Bluespec,171
2013,4,KRL,142
2013,4,Bro,124
2013,4,Augeas,119
2013,4,NetLogo,107
2013,4,Ecl,105
2013,4,XProc,99
2013,4,J,98
2013,4,COBOL,96
2013,4,Ragel in Ruby Host,91
2013,4,Arc,87
2013,4,Fancy,75
2013,4,CLIPS,73
2013,4,Forth,71
2013,4,Idris,67
2013,4,Perl6,64
2013,4,PogoScript,59
2013,4,Monkey,43
2013,4,wisp,35
2013,4,Rebol,32
2013,4,ANTLR,28
2013,4,Crystal,25
2013,4,DCPU-16 ASM,24
2013,4,REALbasic,24
2013,4,Nu,23
2013,4,Glyph,23
2013,4,Mirah,21
2013,4,Fantom,19
2013,4,TXL,18
2013,4,Volt,18
2013,4,Clean,15
2013,4,ABAP,15
2013,4,Self,12
2013,4,Turing,9
2013,4,Rouge,6
2013,4,eC,2
2013,4,RobotFramework,2
2013,4,Opa,1
2014,1,JavaScript,2307156
2014,1,Java,1608110
2014,1,null,1583526
2014,1,Python,1310844
2014,1,CSS,1086620
2014,1,PHP,1076108
2014,1,Ruby,1021357
2014,1,C++,718043
2014,1,C,640246
2014,1,Shell,421868
2014,1,C#,323534
2014,1,Objective-C,218310
2014,1,VimL,114927
2014,1,Perl,110318
2014,1,TeX,102626
2014,1,Go,101950
2014,1,CoffeeScript,86241
2014,1,Scala,80718
2014,1,R,70819
2014,1,Lua,56287
2014,1,Emacs Lisp,55650
2014,1,Haskell,53282
2014,1,Clojure,42351
2014,1,Puppet,33586
2014,1,TypeScript,32647
2014,1,Matlab,31195
2014,1,Groovy,29292
2014,1,Erlang,22508
2014,1,ActionScript,18458
2014,1,Rust,17605
2014,1,Arduino,16495
2014,1,Dart,16203
2014,1,OCaml,15552
2014,1,XSLT,14555
2014,1,D,13974
2014,1,Assembly,12351
2014,1,Julia,11923
2014,1,Common Lisp,11740
2014,1,ASP,11393
2014,1,Visual Basic,11115
2014,1,PowerShell,10337
2014,1,Processing,10170
2014,1,Scheme,9963
2014,1,Pascal,9377
2014,1,FORTRAN,8515
2014,1,Haxe,8357
2014,1,F#,8323
2014,1,VHDL,7339
2014,1,DM,6809
2014,1,IDL,6371
2014,1,KRL,6163
2014,1,Elixir,5140
2014,1,Racket,5072
2014,1,Verilog,4234
2014,1,Vala,4004
2014,1,nesC,3937
2014,1,ColdFusion,3720
2014,1,BlitzBasic,3452
2014,1,XML,3333
2014,1,Tcl,3149
2014,1,LiveScript,3058
2014,1,AutoHotkey,2922
2014,1,Standard ML,2828
2014,1,DOT,2823
2014,1,Logos,2471
2014,1,Apex,2194
2014,1,Coq,1886
2014,1,OpenEdge ABL,1870
2014,1,AppleScript,1754
2014,1,Max,1743
2014,1,Lasso,1456
2014,1,M,1435
2014,1,Smalltalk,1353
2014,1,Ada,1302
2014,1,UnrealScript,1293
2014,1,AutoIt,1165
2014,1,Objective-J,1087
2014,1,XQuery,1040
2014,1,xBase,1027
2014,1,Eiffel,918
2014,1,Agda,909
2014,1,Kotlin,843
2014,1,Xtend,786
2014,1,Nimrod,773
2014,1,Elm,752
2014,1,Pure Data,739
2014,1,Gosu,724
2014,1,Perl6,680
2014,1,Awk,637
2014,1,Brightscript,620
2014,1,Bluespec,602
2014,1,SuperCollider,592
2014,1,Slash,564
2014,1,XC,527
2014,1,MoonScript,523
2014,1,Dylan,515
2014,1,NetLogo,475
2014,1,Nemerle,462
2014,1,Scilab,446
2014,1,Squirrel,391
2014,1,COBOL,389
2014,1,Prolog,375
2014,1,Pike,368
2014,1,Logtalk,339
2014,1,Ceylon,338
2014,1,Io,311
2014,1,Boo,311
2014,1,Idris,311
2014,1,ooc,294
2014,1,HaXe,268
2014,1,Crystal,264
2014,1,Factor,258
2014,1,CLIPS,215
2014,1,ANTLR,205
2014,1,Arc,204
2014,1,XProc,197
2014,1,Parrot,191
2014,1,REALbasic,171
2014,1,Clean,164
2014,1,Augeas,126
2014,1,Monkey,124
2014,1,Turing,119
2014,1,Delphi,107
2014,1,DCPU-16 ASM,95
2014,1,J,87
2014,1,wisp,86
2014,1,Ecl,85
2014,1,Bro,85
2014,1,Rebol,67
2014,1,Volt,63
2014,1,Glyph,58
2014,1,Oxygene,56
2014,1,Forth,56
2014,1,Ragel in Ruby Host,51
2014,1,PogoScript,47
2014,1,RobotFramework,42
2014,1,Fantom,34
2014,1,Self,33
2014,1,Mirah,32
2014,1,ABAP,25
2014,1,eC,19
2014,1,Omgrofl,19
2014,1,Nu,19
2014,1,Rouge,11
2014,1,Opa,10
2014,1,Ioke,8
2014,1,Fancy,2
2014,1,TXL,1
