year,quarter,repository_language,pushes_by_lang
2013,3,null,1131064
2013,3,Java,892540
2013,3,Ruby,755996
2013,3,Python,743686
2013,3,PHP,680257
2013,3,CSS,464213
2013,3,C++,444497
2013,3,C,337248
2013,3,Shell,245834
2013,3,C#,178592
2013,3,Objective-C,132497
2013,3,VimL,94934
2013,3,Perl,85859
2013,3,CoffeeScript,58659
2013,3,Go,55036
2013,3,Scala,49739
2013,3,Haskell,39849
2013,3,Emacs Lisp,37228
2013,3,Lua,34671
2013,3,R,31987
2013,3,Clojure,29121
2013,3,Matlab,23562
2013,3,Puppet,20473
2013,3,Groovy,16924
2013,3,ActionScript,14614
2013,3,Erlang,14514
2013,3,Logos,9765
2013,3,TypeScript,9762
2013,3,Arduino,9465
2013,3,OCaml,9187
2013,3,XSLT,8880
2013,3,D,8293
2013,3,Common Lisp,7529
2013,3,Visual Basic,7346
2013,3,Scheme,6932
2013,3,Delphi,6305
2013,3,Rust,6287
2013,3,PowerShell,6022
2013,3,Racket,5995
2013,3,ASP,5877
2013,3,FORTRAN,5706
2013,3,Processing,5461
2013,3,Dart,5376
2013,3,Prolog,5133
2013,3,Assembly,5047
2013,3,Elixir,4428
2013,3,Julia,4326
2013,3,Haxe,4026
2013,3,ColdFusion,3531
2013,3,DOT,3413
2013,3,F#,3025
2013,3,Verilog,2704
2013,3,Vala,2417
2013,3,Tcl,2080
2013,3,OpenEdge ABL,2069
2013,3,AutoHotkey,2055
2013,3,VHDL,2020
2013,3,XML,1792
2013,3,SuperCollider,1607
2013,3,Standard ML,1341
2013,3,Coq,1301
2013,3,Ada,1134
2013,3,Pascal,1119
2013,3,Smalltalk,1118
2013,3,LiveScript,1038
2013,3,Apex,1010
2013,3,Lasso,785
2013,3,M,784
2013,3,Pure Data,760
2013,3,Slash,655
2013,3,Eiffel,561
2013,3,XQuery,549
2013,3,Gosu,546
2013,3,Nemerle,509
2013,3,Xtend,441
2013,3,AppleScript,417
2013,3,Factor,396
2013,3,Awk,379
2013,3,Parrot,373
2013,3,Kotlin,368
2013,3,Nimrod,340
2013,3,Scilab,332
2013,3,Objective-J,321
2013,3,Dylan,303
2013,3,Io,268
2013,3,HaXe,260
2013,3,XC,222
2013,3,ooc,205
2013,3,MoonScript,188
2013,3,XProc,187
2013,3,Ceylon,168
2013,3,Logtalk,164
2013,3,Rebol,159
2013,3,DCPU-16 ASM,131
2013,3,Forth,121
2013,3,CLIPS,94
2013,3,Bro,91
2013,3,Arc,86
2013,3,Max,76
2013,3,eC,74
2013,3,Boo,73
2013,3,Monkey,67
2013,3,Squirrel,60
2013,3,Ragel in Ruby Host,59
2013,3,Augeas,54
2013,3,Pike,45
2013,3,Ecl,43
2013,3,Turing,37
2013,3,Fancy,31
2013,3,Mirah,24
2013,3,Nu,22
2013,3,wisp,19
2013,3,ABAP,15
2013,3,PogoScript,15
2013,3,Self,8
2013,3,Opa,6
2013,3,COBOL,4
2013,3,Rouge,3
2013,3,Fantom,1
